"FOLIO","VIV_SEL","HOGAR","C_DENEVI","P3A2_2","P3A2_3","P3A3","P3A4","P3A5","P3A6","P3A7","P3A8_1","P3A8_2","P3A8_3","P3A9","P3A10","P3A11","ENT","TLOC","EST_DIS","UPM_DIS","FACTOR"
"0000286","11","2","1","01","","1","4","","05","1","1","","","2","2","1","01","4","011","0000286",176
"0000286","12","1","1","01","03","3","4","","02","2","","","","","","","01","4","011","0000286",176
"0000286","17","1","1","04","","3","4","","05","2","","","","","","","01","4","011","0000286",176
"0000287","09","1","1","01","","2","4","","05","1","2","","","2","2","9","01","4","011","0000287",253
"0000287","20","1","1","01","","2","4","","03","1","1","","","1","2","1","01","4","011","0000287",253
"0000289","04","1","1","01","","3","2","","04","","2","","","4","1","","01","1","002","0000289",196
"0000293","02","1","1","01","","3","4","","05","2","","","","","","","01","1","002","0000293",192
"0000293","05","1","1","01","","3","2","","05","","2","","","5","2","2","01","1","002","0000293",192
"0000296","01","1","1","02","","2","2","","02","","2","","","3","2","1","01","1","002","0000296",828
"0000296","02","1","1","01","","2","3","","05","","2","","","3","2","9","01","1","002","0000296",828
"0000303","02","1","1","03","","2","2","","02","","2","","","3","1","","01","1","002","0000303",759
"0000304","04","1","1","01","","1","3","","02","","2","","","2","2","9","01","1","002","0000304",827
"0000306","03","1","1","02","","3","3","","01","","2","","","3","2","2","01","1","002","0000306",157
"0000306","04","1","1","02","","2","4","","01","2","","","","","","","01","1","002","0000306",157
"0000306","05","1","1","01","","3","4","","01","2","","","","","","","01","1","002","0000306",157
"0000307","01","1","1","01","","3","4","","01","2","","","","","","","01","3","010","0000307",39
"0000307","03","1","1","01","","2","4","","05","1","1","","","2","1","","01","3","010","0000307",39
"0000308","03","1","1","04","","2","1","5","","","","","","","","","02","1","021","0000308",644
"0000313","05","1","1","02","","1","1","1","","","","","","","","","02","1","023","0000313",802
"0000322","01","1","1","01","","2","2","","05","","2","","","3","2","9","02","1","022","0000322",511
"0000322","02","1","1","01","","4","4","","05","1","1","","","3","1","","02","1","022","0000322",511
"0000322","03","1","1","02","","4","4","","01","2","","","","","","","02","1","022","0000322",511
"0000325","05","1","1","03","","2","2","","05","","1","","","1","1","","02","1","022","0000325",541
"0000328","04","1","1","04","","2","4","","02","2","","","","","","","02","1","022","0000328",588
